Image,Titre,Auteur,Date publication,Lien,Remarque
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1586105700i/52965351._UY1000_SS1000_.jpg,"6,000 Dreams: The Leader’s Guide To A Successful Business Transformation Journey",Edwin Bosso,2020,https://www.amazon.fr/000-Dreams-Successful-Business-Transformation-ebook/dp/B08638HCBK/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=6%2C000+Dreams%3A+The+Leader%E2%80%99s+Guide+To+A+Successful+Business+Transformation+Journey&qid=1588753853&sr=8-1,
"https://images-na.ssl-images-amazon.com/images/I/5119AvPYZCL._SX331_BO1,204,203,200_.jpg",L'organisation en mouvement,Eric Delavallée,2020,https://www.amazon.fr/Lorganisation-mouvement-Adopter-changement-permanent/dp/1708888055/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=L%27organisation+en+mouvement&qid=1589217455&s=books&sr=1-1,
https://images-na.ssl-images-amazon.com/images/I/71PtyPNw2fL.jpg,The Catalyst ,Jonah Berger,2020,https://www.amazon.co.uk/Catalyst-Jonah-Berger/dp/1471193772,
https://images-na.ssl-images-amazon.com/images/I/61Coyo1-ufL.jpg,Leadership and change management,Keow Ngang Tang,2019,https://www.amazon.fr/Leadership-Change-Management-Keow-Ngang/dp/9811389012,
https://media.wiley.com/product_data/coverImage300/23/17863040/1786304023.jpg,"Information, knowledge and agile creativity",Stéphane Goria ; Pierre Humbert ; Benoît Roussel,2019,https://www.amazon.com/Information-Creativity-Innovation-Entrepreneurship-Management-ebook/dp/B07YG53Z4T/ref=sr_1_1?dchild=1&keywords=Information%2C+knowledge+and+agile+creativity&qid=1589013214&s=digital-text&sr=1-1,
https://www.puq.ca/media/produits/miniatures/3263/280x0_D5041_pn.jpg,"Améliorer la gestion du changement dans les organisations : Vers de nouvelles connaissances, stratégies et expériences",Martin Lauzier ; Nathalie Lemieux,2019,https://www.amazon.fr/Am%C3%A9liorer-gestion-changement-dans-organisations/dp/2760550419/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&dchild=1&keywords=Am%C3%A9liorer+la+gestion+du+changement+dans+les+organisations&qid=1589217373&s=books&sr=1-1,
https://m.media-amazon.com/images/I/41CCHznQOBL.jpg,Making Sense of Change Management,Esther Cameron ; Mike Green,2019,https://www.amazon.co.uk/Making-Sense-Change-Management-Organizational/dp/0749496975/ref=as_li_ss_tl?dchild=1&keywords=change+management+books&qid=1588865896&s=books&sr=1-13&linkCode=sl1&tag=wwwelizabharr-21&linkId=04e356795e80c35242827512b65036f3&language=en_GB,
https://bookboon.com/thumbnail/380/3810afff-c67a-4a56-b117-80ac5705d18d/f5a11c02-a1a5-4d1e-b8df-52da43bab71d/communicating-change.jpg,Communicating Change how to talk about project change,Elizabeth Harrin,2019,https://bookboon.com/en/communicating-change-ebook,
https://media.springernature.com/w306/springer-static/cover-hires/book/978-3-658-24908-3,"The systems constellation as an instrument for change agents : a case study, general conceptual model and exploration of intervention effects",Kai Bulling,2018,https://www.amazon.com/Systems-Constellation-Instrument-Change-Agents-ebook/dp/B07MFXV4B7/ref=sr_1_1?dchild=1&keywords=The+systems+constellation+as+an+instrument+for+change+agents+%3A+a+case+study%2C+general+conceptual+model+and+exploration+of+intervention+effects&qid=1589013140&s=digital-text&sr=1-1,
"https://images-na.ssl-images-amazon.com/images/I/51TCa2mmUUL._SX369_BO1,204,203,200_.jpg",The Theory and Practice of Change Management ,John Hayes,2018,"https://www.amazon.co.uk/Theory-Practice-Change-Management/dp/1352001233/ref=as_li_ss_tl?crid=2JO2HE48PM1RF&dchild=1&keywords=the+theory+and+practice+of+change+management&qid=1588867281&s=books&sprefix=change+management+theory+and+practic,stripbooks,146&sr=1-1&linkCode=sl1&tag=wwwelizabharr-21&linkId=8592c4fd34a7cc92b0d8cee93e4b3f74&language=en_GB",
"https://images-na.ssl-images-amazon.com/images/I/41rEfy+oARL._SX335_BO1,204,203,200_.jpg",Leading Transformation how to Take Charge of Your Company's Future,Nathan Furr ; Kyle Nel ; Thomas Zoega Ramsoy,2018,https://www.amazon.co.uk/Leading-Transformation-Charge-Companys-Future/dp/1633696545,
https://images-na.ssl-images-amazon.com/images/I/610G9LkzW3L.jpg,Modern business management creating a built-to-change organization,Doug Dockery ; Laureen Knudsen,2017,https://www.amazon.com/Modern-Business-Management-Built-Change-ebook/dp/B077VNMM33/ref=sr_1_1?dchild=1&keywords=Modern+business+management+creating+a+built-to-change+organization&qid=1589013059&s=digital-text&sr=1-1,
https://images-na.ssl-images-amazon.com/images/I/614ev3vGXpL.jpg,Dealing with change : the effects of organizational development on contemporary practices,M. Scott Norton,2017,https://www.amazon.com/Dealing-Change-Organizational-Development-Contemporary-ebook/dp/B076KVQ5LF,
https://www.ipma.world/assets/Making-Organizational-Change-Stick-330x370.jpg,Making Organizational Change Stick,Gabrielle O'Donovan,2017,https://www.amazon.com/Gabrielle-ODonovan-ebook/dp/B077YQT2ZR/ref=sr_1_2?dchild=1&keywords=Making+Organizational+Change+Stick&qid=1589012974&s=digital-text&sr=1-2,
https://assets.thalia.media/img/artikel/7343e816436b676c449d5fab991eb4ea0f545968-00-00.jpeg,Our Iceberg is Melting ,John Kotter,2017,https://www.amazon.co.uk/Our-Iceberg-Melting-Succeeding-Conditions/dp/1509830111,
https://m.media-amazon.com/images/I/51Ug42XeoOL.jpg,Organizational Culture and Leadership,Edgar Schein ; Perter Schein,2016,https://www.amazon.fr/Organizational-Culture-Leadership-Edgar-Schein-ebook/dp/B01MSYH6K8/ref=pd_sbsd_14_1/258-1054422-4160653?_encoding=UTF8&pd_rd_i=B01MSYH6K8&pd_rd_r=48bb393c-fe62-4092-92ad-d1ca2f4e250a&pd_rd_w=vykU0&pd_rd_wg=qP6sr&pf_rd_p=4c6e2f21-abb9-4453-8e09-526238e25516&pf_rd_r=TXZPC7BWADFN2EZ7DXJS&psc=1&refRID=TXZPC7BWADFN2EZ7DXJS,
"https://images-na.ssl-images-amazon.com/images/I/41vPzVPTc9L._SX345_BO1,204,203,200_.jpg",Conduire le changement feuille de route en 8 étapes,Kotter John,2015,https://www.amazon.fr/Conduire-changement-Village-Mondial-Kotter-ebook/dp/B015J06QVM/ref=sr_1_1?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=IDD4AFUK4H8R&dchild=1&keywords=conduire+le+changement&qid=1589200578&sprefix=conduire+le+c%2Caps%2C171&sr=8-1,
https://d2sofvawe08yqg.cloudfront.net/leanchange/hero2x?1549416586,Lean Change Management: Innovative Practices For Managing Organizational Change,Jason Little,2014,https://www.amazon.com/Lean-Change-Managment-Innovative-Organizational/dp/0990466507/ref=sr_1_1?ie=UTF8&qid=1439127322&sr=8-1&ppl=fresh&keywords=lean+change+management#customerReviews,
"https://images-na.ssl-images-amazon.com/images/I/519ThPjPZ1L._SX346_BO1,204,203,200_.jpg",The Effective Change Manager’s Handbook,Richard Smith ; David King ; Ranjit Sidhu ; Dan Skelsey,2014,https://www.amazon.co.uk/Effective-Change-Managers-Handbook-Management/dp/074947307X/ref=as_li_ss_tl?dchild=1&keywords=change+management+books&qid=1588865896&s=books&sr=1-1&linkCode=sl1&tag=wwwelizabharr-21&linkId=e0ac992deb7dfeae899d4cdf008f6d32&language=en_GB,
https://images.routledge.com/common/jackets/amazon/978147242/9781472426987.jpg,Business Transformation Essentials. Case studies and articles,Axel Uhl ; Lars Alexander Gollenia,2013,https://www.amazon.fr/Business-Transformation-Essentials-Studies-Articles/dp/1472426983,
"https://images-na.ssl-images-amazon.com/images/I/51-6Ub7spRL._SX331_BO1,204,203,200_.jpg",Change Management The People Side of Change,Jeffrey M Hiatt ; Timothy J Creasey,2013,https://www.amazon.com/Change-Management-People-Side-ebook/dp/B00EO81JGS,Disponible gratuitement à cette adresse : https://comics-dungeon.blogspot.com/2020/04/pdf-change-management-people-side-of.html
"https://images-na.ssl-images-amazon.com/images/I/41u6KwUAZQL._SX330_BO1,204,203,200_.jpg",The Heart of Change: Real-Life Stories of How People Change Their Organizations,Kotter John ; Dan S Cohen ,2012,https://www.amazon.fr/Heart-Change-Real-Life-Stories-Organizations/dp/1422187330,
https://www.payot.ch/blobs/blob.aspx?ref=1A8EFAC498B745AEECE1F63282247E8B97921292&type=f,Leading Change,John Kotter,2012,https://www.amazon.co.uk/Leading-Change-New-Preface-Author/dp/1422186431/ref=sr_1_1?crid=25UGBTQZJGI0O&dchild=1&keywords=leading+change&qid=1589381206&s=books&sprefix=leading+chan%2Cstripbooks%2C164&sr=1-1,
"https://images-na.ssl-images-amazon.com/images/I/41EHX-ie-PL._SX323_BO1,204,203,200_.jpg",Switch ,Chip Heath ; Dan Heath,2011,https://www.amazon.co.uk/Switch-change-things-when-hard/dp/1847940323,
https://servimg.eyrolles.com/static/media/8868/9782711768868_internet_h1400.jpg,Les essentiels du changement management,Richard Soparnot,2010,https://www.amazon.fr/management-du-changement-Richard-Soparnot/dp/2711768864,
https://exlibris.azureedge.net/covers/9780/0918/1697/1/9780091816971xxl.jpg,Who Moved My Cheese,Spencer Johnson ,1999,https://www.amazon.com/Moved-Cheese-Spencer-Johnson-M-D/dp/0743582853,
"https://images-na.ssl-images-amazon.com/images/I/41XAldIb8IL._SX331_BO1,204,203,200_.jpg",Managing Change for Competitive Success,Andrew Pettigrew ; Richard Whipp ,1993,https://www.amazon.fr/Managing-Change-Competitive-Success-Pettigrew/dp/0631191429,
"https://images-na.ssl-images-amazon.com/images/I/41Sdit8W1wL._SX348_BO1,204,203,200_.jpg",The dynamics of strategic change,Bob Hinings ; Royston Greenwood,1989,https://www.amazon.com/Dynamics-Strategic-Corporate-Strategy-Organization/dp/0631159894,