image,Revues / périodique à suivre,Facteur d'impact,Lien vers le site du journal,Moyen de les suivre
https://www.business.uzh.ch/dam/jcr:c3c1948e-9a97-450f-aef5-8a0387959d8f/Shenghui_JOM,Journal of management ,8.08 (2017),https://journals.sagepub.com/home/jom,https://journals.sagepub.com/action/showFeed?ui=0&mi=ehikzz&ai=2b4&jc=joma&type=etoc&feed=rss
https://secure-ecsd.elsevier.com/covers/80/Tango2/large/02637863.jpg,International journal of project management,4.69 (2018),https://www.journals.elsevier.com/international-journal-of-project-management,http://rss.sciencedirect.com/publication/science/02637863
https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcQGLEvlHQ6ryVuEGaAIhmPezv3i6jgroremM-XPzupxzgXQlQcr&usqp=CAU,Journal of service management,3.23 (2018),https://www.emerald.com/insight/publication/issn/1757-5818,https://www.facebook.com/JournalOfServiceManagement/
https://onlinelibrary.wiley.com/cover/10991379,Journal of organizational behavior,2.98 (2015),https://onlinelibrary.wiley.com/journal/10991379,https://onlinelibrary.wiley.com/journal/10991379#
https://www.emeraldgrouppublishing.com/sites/default/files/imported-covers/ijopm.png,International journal of operations & production management,2.95 (2017),http://www.emeraldgrouppublishing.com/journal/ijopm,http://www.emeraldgrouppublishing.com/journal/ijopm
https://onlinelibrary.wiley.com/cover/14678551,British journal of management,2.75 (2018),https://onlinelibrary.wiley.com/journal/14678551,https://onlinelibrary.wiley.com/journal/14678551#
https://pbs.twimg.com/profile_images/923152623804526593/2kc1OMDL_400x400.jpg,Frontiers in psychology (section Organizational psychology),2.13 (2018),https://www.frontiersin.org/journals/psychology/sections/organizational-psychology,https://www.frontiersin.org/journals/psychology/sections/organizational-psychology/rss
https://multimedia.elsevier.es/PublicationsMultimediaV1/revista/cover/2444569X,Journal of innovation & knowledge,2.07 (2018),https://www.journals.elsevier.com/journal-of-innovation-and-knowledge,http://rss.sciencedirect.com/publication/science/2444569X
https://us.sagepub.com/sites/default/files/upm-binaries/styles/sage_thumbnail_width_150px/feed/108471_spjmi_29_1_72ppiRGB_150pixw.jpg,Journal of management inquiry,1.98 (2018),https://journals.sagepub.com/home/jmi,https://journals.sagepub.com/action/showFeed?ui=0&mi=ehikzz&ai=2b4&jc=jmia&type=etoc&feed=rss
https://img1.od-cdn.com/ImageType-400/1462-1/A90/9CA/26/%7BA909CA26-1671-4191-8AF5-B7FC5BB95D4C%7DImg400.jpg,Leadership & Organization Development Journal,1.46 (2018),https://www.emerald.com/insight/publication/issn/0143-7739,https://www.emerald.com/insight/publication/issn/0143-7739
https://www.tandfonline.com/doi/cover-img/10.1080/rjcm20.v020.i02,Journal of change management,1.31 (2018),https://www.tandfonline.com/loi/rjcm20,https://www.tandfonline.com/feed/rss/rjcm20
https://i.pinimg.com/originals/ea/db/df/eadbdf437a6be53b63cbe5ae33d28204.jpg,Journal of Organizational Change Management,0.99 (2018),https://www.emerald.com/insight/publication/issn/0953-4814,https://www.emerald.com/insight/publication/issn/0953-4814
https://img1.od-cdn.com/ImageType-400/1462-1/BFD/492/04/%7BBFD49204-5F4C-432A-9F7E-770163701A88%7DImg400.jpg,Baltic journal of management,0.93 (2018-2019),https://www.emeraldgrouppublishing.com/journal/bjm,https://www.emeraldgrouppublishing.com/journal/bjm
https://img.yumpu.com/22653552/1/220x312/strategic-change-management-strategic-change-management.jpg?quality=85,International Journal of Strategic Change Management,0.24 (2018),https://www.inderscience.com/jhome.php?jcode=ijscm,http://www.inderscience.com/rss/rss.php
https://files.magzter.com/resize/magazine/1554457212/1578394082/view/1.jpg,Business transformation magazine,-,https://www.magzter.com/AE/GEC-Media-Group/Business-Transformation/Business/,https://www.facebook.com/mobilemagzter