,image,nom,pseudo,description,Type,nombre_tweets,date_dernier_tweet,nombre_followers,lien_twitter,lien_site
Personnes à suivre,https://pbs.twimg.com/profile_images/1481479545/Braden_Kelley_NOLA_550wide_400x400.jpg,Braden Kelley,@innovate,"Innovation & change keynote speaker. Author of http://charting-change.com and http://innovationbonfire.com, creator of Change Planning Toolkit™  http://bradenkelley.com/cpt",Personne,51100,13.04.20,19200,https://twitter.com/innovate,innovationexcellence.com
,https://pbs.twimg.com/profile_images/1194640325282869255/Lic63DbI_400x400.jpg,Jason Little,@jasonlittle,Author of @leanchangeorg and @enableagility founder of @sparkconfto drummer for @cleverweaponbnd. Once called a shit disturber by my manager.,Personne,26200,02.04.20,7442,https://twitter.com/jasonlittle,leanchange.org
,https://pbs.twimg.com/profile_images/482582947115958272/nHWZ0YNZ_400x400.jpeg,John P. Kotter,@JohnPKotter,"Founder and Chairman at @KotterIntl, Professor of Leadership at Harvard Business School, New York Times best selling author.",Personne,265,27.03.20,7072,https://twitter.com/johnpkotter?lang=fr,kotterinternational.com
,https://pbs.twimg.com/profile_images/1018167919874920453/eF4A7x_i_400x400.jpg,Janelle McLaughlin,@Ms_Mac4,"Keynote Speaker, Innovative Education Consultant, Leadership Coach, Educator. Love to learn, laugh, connect, and make completos.",Personne,32200,14.04.20,6983,https://twitter.com/Ms_Mac4,innovativeeducationsolutions.net
,https://pbs.twimg.com/profile_images/499646671534309376/Lqb1UYZq_400x400.jpeg,Mike Lehr,@MikeLehrOZA,"Twitter’s #1 #ChangeManagement #KOL Influencing & Problem-solving, IT Owner, Speaker, Trainer, Writer, Analogy King, Thought Provocateur & Originator, Runner",Personne,216600,28.03.20,62000,https://twitter.com/MikeLehrOZA,omegazadvisors.com
,https://pbs.twimg.com/profile_images/720371192251621376/C_EI740Q_400x400.jpg,Michael Fullan,@MichaelFullan1,"Professor Emeritus, OISE/University of Toronto.
Whole system reform devotee",Personne,1810,13.04.20,55400,https://twitter.com/michaelfullan1,http://t.co/2ukMWsp04T?amp=1
,https://pbs.twimg.com/profile_images/717356194499678208/VkXzPHr3_400x400.jpg,Mark Murphy,@LeadershipIQ,"Founder of Leadership IQ, NY Times bestseller, contributor at Forbes. Books include Hiring for Attitude, Hundred Percenters, HARD Goals. #LeadershipIQ",Personne,1428,06.03.20,3644,https://twitter.com/LeadershipIQ,leadershipiq.com
,https://pbs.twimg.com/profile_images/1259734057149255686/7NGwTiRd_400x400.jpg,Peter F Gallagher,@peterfgallagher,"PFG Speaks. Change Management Keynote Speaker, Author of the Leadership of Change Volumes 1 - 3   and Troubleshooter http://peterfgallagher.com/publications",Personne,823,02.04.20,1643,https://twitter.com/peterfgallagher,peterfgallagher.com
,https://pbs.twimg.com/profile_images/1243056902881177600/9Dqs0fJw_400x400.jpg,Malati Marlene Shinazy,@malati_shinazy,"Diversity/Inclusion, Change Mgmt, Talent/OD  - Author: Listening To Millennials: 56 Priceless Tips For Managers- 
@DiversityWisdom- http://TeenDIVERSOPHY.com",Personne,1804,11.04.20,761,https://twitter.com/malati_shinazy,pacificleadershipconsultants.com
,https://pbs.twimg.com/profile_images/575475011747610625/N5ZtaW5t_400x400.jpeg,Jason LaBresh,@JasonLaBresh,"BCG Senior Partner. Works with government on change, new ways of working, technology, organisation",Personne,402,16.03.20,138,https://twitter.com/JasonLaBresh,bcg.com